label,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
Momentum,0.12378883173536792,0.06008906783126866,0.1601690012369936,0.2502923007676809,-0.14824007733775896
Value,0.3196761880732035,0.1487715996111687,0.20263510585740968,0.6354851449174989,-0.1450120312122405
Combined,0.07448487320538799,0.036573621700546566,0.16296517286232445,0.10170039039291065,-0.1429242750268056
Benchmark,0.2523150376888401,0.11906882616255565,0.16779274378862613,0.5904237807050572,-0.13446976748944975
