label,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,beta,alpha,alpha_ols,alpha_tstat,alpha_pvalue,r_squared,sharpe_diff_vs_benchmark,sharpe_diff_ci_lower,sharpe_diff_ci_upper,sharpe_diff_significant,avg_monthly_turnover,net_sharpe_ratio
Momentum,0.2502385835046732,0.14339355135124765,0.11707493919741646,1.0539706635523123,1.870417908869661,-0.0599309050440474,0.7690416073463942,-0.006930012840361564,-0.006930012840361627,-0.08410305506389501,0.9339028153095136,0.3857327835607083,-0.8342500611127632,-2.640106940517307,0.4994268301296692,False,0.20000000000000004,1.0087538652135755
Value,0.4220375738178832,0.2352266216413923,0.1406298837270508,1.5304472700775795,3.215815753947647,-0.08299005381290715,1.1789312715820839,0.0057814717709392255,0.005781471770939153,0.07508601000905943,0.9409744875117776,0.6282557889773286,-0.357773454587496,-1.7827817656948128,0.7504532378681179,False,0.01,1.529200590547885
Combined,0.4505921593213631,0.25004945593901406,0.13396394439334766,1.7172490477253952,5.010167881121135,-0.05243591450709243,0.7935842398066608,0.08128043378042336,0.0812804337804233,0.8155748390972659,0.42540443871585076,0.3137075530388801,-0.1709716769396803,-2.290951443555089,1.4300992691952341,False,0.16,1.6855370936811223
Benchmark,0.35232554191112264,0.19852956202864935,0.09454909571565907,1.8882207246650755,3.5900242656868,-0.054108069995715484,1.0000000000000002,-4.163336342344337e-17,,,,,,,,,,
