strategy,avg_monthly_turnover,gross_total_return,net_total_return,gross_annualized_return,net_annualized_return,gross_sharpe,net_sharpe
Momentum,0.22916666666666666,0.4772096133388397,0.44525115615462485,0.10245413652150126,0.09644242469289277,0.5562442120693206,0.5154682955111918
Value,0.041666666666666664,0.8970148511546958,0.889511581467034,0.17359346549968047,0.1724312606314924,0.8615514142521975,0.8549224985550569
Combined,0.225,0.5596707173370312,0.5264410914337772,0.11752752724962967,0.11152698870074329,0.6547046523649792,0.6136002426947299
