label,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
Momentum (top-5),0.102349759942441,0.1482768620005533,0.5553783566186726,-0.14824015084970457
Momentum (top-8),0.11209051199865838,0.14160398658752335,0.6503384136133666,-0.1493597127483226
Value (top-5),0.1594215236563381,0.18549378958786525,0.7516236741192702,-0.14501199591343666
Value (top-8),0.105815652583515,0.15485993423655858,0.5541501293189627,-0.14161034833836145
Combined (top-5),0.11574547836986282,0.14922500799315774,0.6416181822168369,-0.14292426412750395
Combined (top-8),0.11029864739004713,0.13264918787262422,0.6807327571183925,-0.11585575338561531
Benchmark (top-5 dates),0.13803827145906,0.14565803470872826,0.8103794047139289,-0.1344697766006159
Benchmark (top-8 dates),0.13803827145906,0.14565803470872826,0.8103794047139289,-0.1344697766006159
