label,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown
Momentum,0.4766502879690899,0.10234976437690779,0.14827687721964325,0.5553783295214849,0.983505992571451,-0.14824015064096022
Value,0.8070307189767967,0.15942159163732894,0.18549385709117397,0.7516237670814103,1.2633508522193475,-0.14501206004386308
Combined,0.5497463516490448,0.11574553012858058,0.1492250183819398,0.6416184843986478,1.1871828340706008,-0.1429242075294391
Benchmark,0.6773647953523718,0.13803830711966714,0.14565806964472403,0.810379455169051,1.4241370670082507,-0.1344697739156441
